measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2007,2588441.78812551,2638033.93494297,2539533.5046273945
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2007,864622.6307677913,883533.0249811995,849960.7515103578
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2006,2795596.886172714,2840953.6774398093,2752425.393077266
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2006,949597.2463215279,966196.5402212711,935774.0790113932
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2008,1309644.0660562974,1323359.9864737417,1296116.1815863247
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2008,353247.09241099434,357129.04643216013,349276.75560509815
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1997,23907.828594728624,26410.475839193154,21631.773313198948
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1997,9648.465782525438,11010.147126464575,8426.242314868154
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2008,2546419.441350011,2584855.253343463,2512130.7586021544
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2008,871277.6822822978,883571.5369482235,859181.9767904872
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1998,23865.354229054126,26177.25639443843,21640.865392481748
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1998,9571.675990435282,10934.668885161695,8383.535837920417
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2002,511798.2436076528,551809.1578963221,471729.687974657
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2002,233832.80613141536,261551.8894400323,205158.48458841685
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2010,1074020.8883001728,1085320.9718819652,1059388.0131926609
